indicator_id,name,geo_type_name,measure,geo_join_id,data_value
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),306,75.55813166
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),307,57.63543628
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),308,18.09316507
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),309,114.7744858
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),310,52.25093482
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),401,48.83048403
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),402,49.01545226
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),403,29.26451621
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),404,13.43512341
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),405,43.5507136
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),406,38.05502612
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),407,60.9503606
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),408,91.40368159
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),409,53.8463865
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),410,57.90379567
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),501,85.93689863
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),502,66.09292254
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),503,26.74282016
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),504,19.59340061
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),101,65.8
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),102,108.6
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),103,153.6
648,Asthma emergency department visits due to PM2.5,UHF42,Estimated annual rate (under age 18),104,105.2
